date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:18	75930/75930	---M-Z	200	added ('OK')	text/html	etag:%221289a-670166ac-5463a16165239679;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_sliders.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_sliders.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:18	90467/90467	---M-Z	200	added ('OK')	text/html	etag:%2216163-670166ac-562078177f00ef24;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_typography.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_typography.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:18	98972/98972	---M-Z	200	added ('OK')	text/html	etag:%221829c-670166ac-73459bf167bf5a22;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_tab.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_tab.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:19	83577/83577	---M-Z	200	added ('OK')	text/html	etag:%2214679-670166ac-97920d33ac51b621;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_timeline.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_timeline.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:19	72132/72132	---M-Z	200	added ('OK')	text/html	etag:%22119c4-670166ac-10db53176f95c6d4;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_timeline_horizontal.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_timeline_horizontal.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:19	70870/70870	---M-Z	200	added ('OK')	text/html	etag:%22114d6-670166ac-fea439dbe710797f;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_bootstrap_switch.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_bootstrap_switch.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:20	63377/63377	---M-Z	200	added ('OK')	text/html	etag:%22f791-670166ac-2ac919ad01299b2f;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_date_paginator.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_date_paginator.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:20	70565/70565	---M-Z	200	added ('OK')	text/html	etag:%22113a5-670166ac-5d3cc71a2091bf15;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_media_advanced.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_media_advanced.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:20	66306/66306	---M-Z	200	added ('OK')	text/html	etag:%2210302-670166ac-448770909fae6139;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_rangeslider.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_rangeslider.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:20	66818/66818	---M-Z	200	added ('OK')	text/html	etag:%2210502-670166ac-6705be82002b5485;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_rating.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/component_rating.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
